name,city,state,type,fees_ug_inr,placement_avg_lpa,rating,nirf_rank
"Delhi School of Economics, University of Delhi",New Delhi,Delhi NCR,Government,11751,26.5,8.5,
Delhi Technical Campus,,Haryana,Engineering,69500,8.2,8.2,
Delhi Technological University,New Delhi,Delhi,University,247700,15.75,7,48
"Department of Business Economics, University of Delhi",New Delhi,Delhi NCR,Government,49850,24.8,8.5,
Department of Laws Panjab University,Chandigarh,Chandigarh,Government,15115,6.5,7,
"Department of Management Sciences, IIT Kanpur",Kanpur,Uttar Pradesh,Government,1350000,24,8.5,
"Department of Management Studies, Indian Institute of Technology",Roorkee,Uttarakhand,Government,596250,24,8.5,
"Department of Management Studies, MNIT",Jaipur,Rajasthan,Government,171287,16,8,
"Department of Management, BITS",Pilani,Rajasthan,Private,638175,27,8.5,
Dev Bhoomi Institute of Technology,,Uttarakhand,Engineering,119700,7.5,7.2,
Dev Bhoomi Uttarakhand University,Dehradun,Uttarakhand,Private,152400,40,8.5,
Dharmashastra National Law University,Jabalpur,Madhya Pradesh,Government,261653,6.5,7,
Dharmsinh Desai University,Nadiad,Gujarat,Private,185000,25,7.7,
Dhirubhai Ambani Institute of Information and Communication,Gandhinagar,Gujarat,Engineering,154000,9.2,8.7,
Dibrugarh Polytechnic,,Assam,Engineering,7600,1,2,
"Dibrugarh University, Dibrugarh",,Assam,Engineering,110130,6.5,7.8,
Directorate of Coldwater Fisheries Research,Nainital,Uttarakhand,Government,120000,6.5,7,
"Directorate of Distance Education, University of Jammu",Jammu,Jammu & Kashmir,Government,10690,5.6,6,
Disha Institute of Management and Technology,,Chhattisgarh,Engineering,150000,6.3,8.1,
DIT University,Dehradun,Uttarakhand,Private,240300,58,7.8,
DJ Sanghvi College of Engineering,Mumbai,Maharashtra,Private,280000,9.5,6.5,
DMS - Department of Management Studies IIT,New Delhi,Delhi NCR,Government,43150,41.13,8.5,
Doaba Group of Colleges,Mohali,Punjab,Private,318000,6.5,6.5,
Dogra Law College,Jammu,Jammu & Kashmir,Private,40353,6.5,6.5,
Dolphin PG Institute of BioMedical & Natural Sciences,Dehradun,Uttarakhand,Private,108000,6.5,6.5,
Don Bosco College of Engineering and Technology,,Assam,Engineering,157000,7.3,8.5,
Doon Institute of Education,Dehradun,Uttarakhand,Private,55000,6.5,6.5,
"Doon University, Dehradun",,Uttarakhand,Engineering,34750,6.3,7.2,
Doon Valley College of Education,Dehradun,Uttarakhand,Private,45000,6.5,6.5,
Doraha Institute of Management and Technology,Ludhiana,Punjab,Private,69200,6.5,6.5,
Dr BR Ambedkar National Institute of Technology,Jalandhar,Punjab,Government,164000,52,7.9,
Dr IT School of Business,Patiala,Punjab,Private,100200,6.5,6.5,
Dr Rajendra Prasad Government Medical College,Kangra,Himachal Pradesh,Government,60000,6.5,7,
Dr SN Medical College & Hospital,Jodhpur,Rajasthan,Government,125300,6.5,7,
Dr YS Parmar University of Horticulture and Forestry,Solan,Himachal Pradesh,Government,68500,6.5,7,
Dr. A. P. J. Abdul Kalam University,Indore,Madhya Pradesh,Private,283400,6.5,6.5,
Dr. Ambedkar Institute of Technology,,Karnataka,Engineering,30200,6.7,7.2,
"Dr. B R Ambedkar Institute of Technology, Port Blair",,Andaman,Engineering,12083,6,6.5,
Dr. B. R. Ambedkar Polytechnic College,,Puducherry,Engineering,6000,6,6.5,
Dr. B.C. Roy Engineering College,,West Bengal,Engineering,108980,7.2,7.7,
Dr. B.R. Ambedkar National Law University,Sonepat,Haryana,Government,148500,9,7,
Dr. Baba Saheb Ambedkar Medical College & Hospital,New Delhi,Delhi NCR,Government,111000,6.5,7,
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,University,200000,8,7,44
Dr. Hari singh Gour University,Sagar,Madhya Pradesh,Government,8160,4.25,5.5,
"Dr. LAXMINARAYAN PANDEY GOVT. MEDICAL COLLEGE, RATLAM",Ratlam,Madhya Pradesh,Government,115350,6.5,7,
Dr. Radhakrishnan Govt. Medical College,Hamirpur,Himachal Pradesh,Government,60000,6.5,7,
Dr. Ram Manohar Lohia Institute of Medical Sciences,Lucknow,Uttar Pradesh,Government,49700,6.5,7,
Dr. S. S. Bhatnagar University Institute of,,Chandigarh,Engineering,394000,7.1,7.1,
Dr. Y. S. Parmar Medical College Nahan,Sirmaur,Himachal Pradesh,Government,60000,6.5,7,
Dr.Ambedkar Institute of Hotel Management Catering and Nutrition,Chandigarh,Chandigarh,Government,147135,6.5,7,
Dronacharya College of Engineering,Gurgaon,Haryana,Private,141100,6,6.5,
DTU Delhi Technological University,New Delhi,Delhi,State University,200000,15.75,8.5,
"Duliajan College, Dibrugarh",,Assam,Engineering,150000,8.7,8.7,
Dwarkadas J Sanghvi College of Engineering,,Maharashtra,Engineering,194000,8.3,8.2,
Dyal Singh College,New Delhi,Delhi NCR,Government,14705,23.5,8.5,
Dyal Singh Evening College,New Delhi,Delhi NCR,Government,14700,6.5,7,
ESIC Medical College,Faridabad,Haryana,Government,100000,6.5,7,
Eternal University,Sirmaur,Himachal Pradesh,Private,53300,3,7.5,
"Faculty of Engineering and Technology, Jain University",,Karnataka,Engineering,197500,7.7,8.1,
"Faculty of Engineering and Technology, Shoolini University",Solan,Himachal Pradesh,Private,260000,42,8.5,
"Faculty of Hospitality Management and Catering Technology, M. S. Ramaiah University of Applied Sciences",Bangalore,Karnataka,Private,179000,6.5,6.5,
"Faculty of Management Studies, The Maharaja Sayajirao University of Baroda",Vadodara,Gujarat,Government,45100,6.5,7,
"Faculty of Pharmaceutical Sciences, Shoolini University",Solan,Himachal Pradesh,Private,183500,6.5,6.5,
"Faculty of Technology and Engineering, Maharaja Sayajirao",,Gujarat,Engineering,7640,8.3,8.1,
"Faculty of Technology and Engineering, Maharaja Sayajirao University of Baroda",Vadodara,Gujarat,Government,105000,11,7,
Federal Institute of Science and Technology,,Kerala,Engineering,75100,8,8.1,
Film and Television Institute of India,Pune,Maharashtra,Government,120000,6.5,7,
FMS Delhi,New Delhi,Delhi,Government,232000,34.1,9.1,
FMS Delhi Faculty of Management Studies,New Delhi,Delhi NCR,Government,116000,34.1,9.1,
FORE School of Management,New Delhi,Delhi NCR,Private,2077000,29,8.5,
Forest Research Institute,Dehradun,Uttarakhand,Government,43000,6.5,7,
G. Pulla Reddy Engineering College,,Andhra Pradesh,Engineering,80000,8.2,8.3,
G.B. Pant Universtiy of Agriculture and Technology,Pantnagar,Uttarakhand,University,200000,7,7,88
Gajra Raja Medical College,Gwalior,Madhya Pradesh,Government,121000,6.5,7,
Galgotias University,Greater Noida,Uttar Pradesh,Private,177000,39,7.6,
Gandhi Institute for Technology,,Odisha,Engineering,81000,6.6,7.4,
Gandhi Medical College,Bhopal,Madhya Pradesh,Government,116255,6.5,7,
Ganpat University,Mehsana,Gujarat,Private,140000,12,8.1,
Gauhati University,Guwahati,Assam,University,40950,7,7,40
Gautam Buddha University,Greater Noida,Uttar Pradesh,Government,54100,22,8.5,
Gaya College of Engineering,Gaya,Bihar,Government,70630,7.5,6.5,
"Gaya College of Engineering, Gaya",,Bihar,Engineering,100000,5.3,7.1,
Gayatri Vidya Parishad College of Engineering,,Andhra Pradesh,Engineering,276000,8.1,7.7,
GGS College of Modern Technology,Mohali,Punjab,Private,80900,9,7,
GH Raisoni College of Engineering,,Maharashtra,Engineering,560000,8,8.4,
Gian Jyoti Institute of Management and Technology,Mohali,Punjab,Private,103950,12,7.5,
Giani Zail Singh Campus College of Engineering and Technology,Bathinda,Punjab,Government,104600,4,5.5,
GIDC Rajju Shroff Rofel Institute of Management Studies,Vapi,Gujarat,Private,92200,6.5,6.5,
"Girijananda Chowdhury Institute of Management & Technology,",,Assam,Engineering,144000,6.4,7.3,
GITA Autonomous College,,Odisha,Engineering,108000,8.3,8.7,
GL Bajaj Institute of Management and Research,Greater Noida,Uttar Pradesh,Private,785000,23,8.5,
GL Bajaj Institute of Technology,Greater Noida,Uttar Pradesh,Private,350000,6.5,6.5,
"GLA University, Mathura",,Uttar Pradesh,Engineering,178000,8.2,8.2,
Global Group of Institutes,Amritsar,Punjab,Private,100200,30,8.5,
"Global Institute, Amritsar",,Punjab,Engineering,318000,7.9,8.3,
"Glocal University, Saharanpur",,Uttar Pradesh,Engineering,144000,7.2,7.1,
GNA University,Phagwara,Punjab,Private,200000,30.5,8.5,
GNLU Gandhinagar,Gandhinagar,Gujarat,NLU,145000,14,8.2,5
Goa College of Engineering,,Goa,Engineering,59500,6.7,7.5,
"Goa University, North Goa",,Goa,Engineering,17290,8,7.9,
Gokaraju Rangaraju Institute of Engineering and Technology,,Telangana,Engineering,122000,8.1,8,
Gopal Narayan Singh University,Sasaram,Bihar,Private,119500,6.5,6.5,
Goswami Ganesh Dutta Sanatan Dharma College,Chandigarh,Chandigarh,Private,3700,6.5,6.5,
Government College for Women,Srinagar,Jammu & Kashmir,Government,3458,6.5,7,
Government College of Education,Chandigarh,Chandigarh,Government,22970,6.5,7,
Government College of Engineering and Technology,Jammu,Jammu & Kashmir,Government,42920,8,5.7,
"Government College of Engineering, Kendujhar",,Odisha,Engineering,140000,5.1,7,
Government Degree College,Jammu,Jammu & Kashmir,Government,7290,6.5,7,
Government Degree College for Boys,Udhampur,Jammu & Kashmir,Government,21960,6.5,7,
"Government Degree College for Boys, Udhampur",,Jammu,Engineering,150000,5.3,6.6,
Government Degree College for Women,Anantnag,Jammu & Kashmir,Government,2530,6.5,7,
Government Dental College,Srinagar,Jammu & Kashmir,Government,120000,6.5,7,
Government Doon Medical College,Dehradun,Uttarakhand,Government,165500,6.5,7,
Government Home Science College,Chandigarh,Chandigarh,Government,33215,6.5,7,
Government Industrial Training Institute,Chandigarh,Chandigarh,Engineering,150000,6,6.5,
Government Institute of Medical Sciences,Greater Noida,Uttar Pradesh,Government,151100,6.5,7,
Government MAM College,Jammu,Jammu & Kashmir,Government,14068,6.5,7,
Government Medical College,Amritsar,Punjab,Government,998000,6.5,7,
Government Medical College / Rajindra Hospital,Patiala,Punjab,Government,174000,6.5,7,
Government Medical College and Hospital,Chandigarh,Chandigarh,Government,25000,6.5,7,
"Government Medical College and Hospital , Purnea",Purnea,Bihar,Government,120000,6.5,7,
Government Polytechnic College,,Jammu,Engineering,2130,6,6.5,
"Government Polytechnic College, Anantnag",,Jammu,Engineering,2130,6,6.5,
"Government Polytechnic College, Bandipora",,Jammu,Engineering,2330,6,6.5,
"Government Polytechnic College, Baramulla",,Jammu,Engineering,2130,6,6.5,
"Government Polytechnic College, Budgam",,Jammu,Engineering,2130,6,6.5,
"Government Polytechnic College, Sopore",,Jammu,Engineering,2130,6,6.5,
Government Polytechnic for Women,,Chandigarh,Engineering,7225,6,6.5,
"Government Polytechnic For Women, Jammu",,Jammu,Engineering,2130,6,6.5,
"Government Polytechnic Kargil, Kargil",,Jammu,Engineering,2130,6,6.5,
"Government Polytechnic Laying, Itanagar",,Arunachal Pradesh,Engineering,150000,6,6.5,
"Government Polytechnic Roing, Roing",,Arunachal Pradesh,Engineering,15050,6,6.5,
"Government Polytechnic Sedem, Tuensang",,Nagaland,Engineering,10500,6,6.5,
"Government Polytechnic Seithekema C, Dimapur",,Nagaland,Engineering,8000,6,6.5,
Government Polytechnic Tsunazho,,Nagaland,Engineering,7550,6,6.5,
"Government Polytechnic, Bicholim",,Goa,Engineering,150000,6,6.5,
"Government Polytechnic, Curchorem",,Goa,Engineering,16000,6,6.5,
"Government Polytechnic, Daman",,Daman,Engineering,3575,6,6.5,
"Government Polytechnic, Imphal",,Manipur,Engineering,150000,6,6.5,
"Government Polytechnic, Kohima",,Nagaland,Engineering,7450,6,6.5,
"Government Polytechnic, Kulgam",,Jammu,Engineering,4500,6,6.5,
Govind Ballabh Pant Engineering College,,Uttarakhand,Engineering,69015,5.1,6.4,
Govind Ballabh Pant University of Agriculture and Technology,Pantnagar,Uttarakhand,Government,61024,6.5,7,
Govt College of Teacher Education,Kangra,Himachal Pradesh,Government,10000,6.5,7,
"Govt Engineering College, Bilaspur",,Chhattisgarh,Engineering,12725,5.5,6.9,
"Govt. Gandhi Memorial Science College, Jammu",,Jammu,Engineering,150000,4.2,6.7,
Graphic Era Hill University,Dehradun,Uttarakhand,Private,412500,47.88,8.1,
Graphic Era Hill University Bhimtal Campus,Bhimtal,Uttarakhand,Private,220500,47.88,8.1,
Graphic Era University,Dehradun,Uttarakhand,Private,323400,8.5,7.5,52
"Graphic Era University, School of Engineering and",Dehradun,Uttarakhand,Engineering,236400,8.8,8.2,
Great Lakes Institute of Management,Gurgaon,Haryana,Private,1808000,22.5,8.5,
"Green Hills Engineering College, Solan",,Himachal Pradesh,Engineering,80700,4.4,6,
"GSFC University, Vadodara",,Gujarat,Engineering,121250,7.9,8.1,
GSVM Medical College,Kanpur,Uttar Pradesh,Government,39600,6.5,7,
Gudlavalleru Engineering College,,Andhra Pradesh,Engineering,81600,7.5,8.2,
Gujarat National Law University,Silvassa,Gujarat,Government,216000,11,7,
Gujarat University,Ahmedabad,Gujarat,University,200000,7.5,7,76
Gulzar Group of Institutes,Ludhiana,Punjab,Private,121200,17,8,
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,University,189500,10,7.8,80
Guru Kashi University,Bathinda,Punjab,Private,4000,6.5,6.5,
"Guru Kashi University, Bathinda",,Punjab,Engineering,92680,7.2,7.5,
Guru Nanak Dev Engineering College,Ludhiana,Punjab,Private,120619,10,7.7,
Gurugram University,Gurgaon,Haryana,Government,20470,6.5,7,
"Gurugram University, Gurgaon",,Delhi NCR,Engineering,40000,8,8.2,
"Gurukul Vidyapeeth, Chandigarh",,Chandigarh,Engineering,150000,2,3.5,
H.D. Jain College,Arrah,Bihar,Private,1800,6.5,6.5,
Haldia Institute of Technology,,West Bengal,Engineering,116350,7.2,7.8,
Harcourt Butler Technological University,,Uttar Pradesh,Engineering,135000,7.8,7.3,
Hargovandas Lakhmichand College of Commerce (H L College of Commerce),Ahmedabad,Gujarat,Government,40000,0.3,5.5,
Hemchandracharya North Gujarat University,Patan,Gujarat,Government,26130,6.5,7,
Heritage Institute of Hotel and Tourism,Shimla,Himachal Pradesh,Private,330000,6.5,6.5,
Heritage Institute of Technology,,West Bengal,Engineering,116200,7.6,7.8,
Himachal Institute of Engineering and Technology,Kangra,Himachal Pradesh,Private,73000,6.5,7.5,
Himachal Pradesh University,Shimla,Himachal Pradesh,Government,3234,6.5,7,
Himachal Pradesh University Business School,Shimla,Himachal Pradesh,Government,25000,6.5,7,
Himalayan Group of Professional Institutions,Sirmaur,Himachal Pradesh,Private,92570,20,8.5,
"Himalayan Group of Professional Institutions, Sirmaur",,Himachal Pradesh,Engineering,84200,8.2,8.2,
Himalayan Institute of Medical Sciences,Dehradun,Uttarakhand,Private,2357000,6.5,6.5,
Himalayan University,Sirmaur,Arunachal Pradesh,Engineering,81000,8.1,8.6,
Himgiri Zee University,,Uttarakhand,Engineering,90000,7.7,7.9,
Hindustan College of Engineering,,Kerala,Engineering,50000,8,8,
Homi Bhabha National Institute,Mumbai,Maharashtra,University,50000,18,9,16
Hotel & Catering Management Institute,Chandigarh,Chandigarh,Private,69200,6.5,6.5,
Hyderabad Central University,Hyderabad,Telangana,Central University,100000,9,7.5,
I.K. Gujral Punjab Technical University,Jalandhar,Punjab,Government,126200,6.5,8.1,
IBMR Business School,Gurgaon,Haryana,Private,457500,15,8,
ICFAI Business School,Dehradun,Uttarakhand,Private,702000,10.7,7,
ICFAI University,Baddi,Himachal Pradesh,Private,36800,6.5,6.5,
"ICFAI University, Baddi",,Himachal Pradesh,Engineering,95000,8,8,
"ICFAI University, Dehradun",,Uttarakhand,Engineering,156000,7.3,7.8,
"ICFAI University, Raipur",,Chhattisgarh,Engineering,100000,8.6,8.6,
"ICFAI University, West Tripura",,Tripura,Engineering,130000,7.6,8,
ICL Institute of Engineering and Technology,Ambala,Haryana,Private,85000,6.5,6.5,
IEC University Baddi,,Himachal Pradesh,Engineering,118600,8,7.6,
"IFTM University, Moradabad",,Uttar Pradesh,Engineering,107000,6.8,7.8,
IGNOU,New Delhi,Delhi,Central University,100000,6,7.5,
IIEST Shibpur,Howrah,West Bengal,Government,110000,10,7.8,
IIFT Delhi Indian Institute of Foreign Trade,New Delhi,Delhi NCR,Government,675462,27.3,7,
IIHMR University,Jaipur,Rajasthan,Private,1250000,35.6,8.5,
IILM Institute for Business & Management,Gurgaon,Haryana,Private,340000,10,7,
"IILM University, Gurgaon",,Haryana,Engineering,330000,8.6,8.4,
IIS (Deemed to be University),,Rajasthan,Engineering,99300,7.9,8.3,
IISc Bangalore,Bangalore,Karnataka,Central University,90000,26.35,9.6,
IMI - International Management Institute,New Delhi,Delhi NCR,Private,2200000,14,6.5,
IMS Unison University,Dehradun,Uttarakhand,Private,122000,41.62,8.5,
IMT - Institute of Management Technology,Ghaziabad,Uttar Pradesh,Private,3042976,41.55,8.5,
Indian Institute of Aeronautical Engineering,,Uttarakhand,Engineering,300000,8,8.3,
Indian Institute of Chemical Technology,,Telangana,Engineering,150000,7.7,7.7,
Indian Institute of Forest Management,Bhopal,Madhya Pradesh,Government,738000,20.5,8.5,
"Indian Institute of Information Technology , Kottayam",,Kerala,Engineering,198950,8.6,8.3,
Indian Institute of Information Technology Design and,,Andhra Pradesh,Engineering,144600,7.2,7.4,
Indian Institute of Information Technology Design and Manufacturing,Jabalpur,Madhya Pradesh,Government,174000,6.5,7,
Indian Institute of Information Technology Sri City,,Andhra Pradesh,Engineering,103000,7.3,7,
Indian Institute of Information Technology Vadodara,Gandhinagar,Gujarat,Government,290220,56.3,7.8,
"Indian Institute of Information Technology, Bhopal",,Madhya Pradesh,Engineering,179500,5,6,
Indian Institute of Science,Bangalore,Karnataka,Government,220800,26.35,9,
"Indian Institute of Science, Bengaluru",Bengaluru,Karnataka,University,90000,7,9.6,1
"Indian Institute of Science, Department of Management Studies",Bangalore,Karnataka,Government,266500,37.5,8.5,
Indian Institute of Space Science and Technology,,Kerala,Engineering,142400,7.7,8.1,
Indian School of Business,Mohali,Punjab,Private,4542480,33.25,9.1,
Indira Gandhi Delhi Technical University For Women,,Delhi NCR,Engineering,88000,8.3,7.6,
Indira Gandhi Institute of Medical Sciences,Patna,Bihar,Government,70000,6.5,7,
"Indira Gandhi Institute of Technology, Dhenkanal",,Odisha,Engineering,34500,6.7,7.8,
Indira Gandhi Medical College,Shimla,Himachal Pradesh,Government,60000,6.5,7,
Indira Gandhi National Forest Academy,,Uttarakhand,Engineering,184500,9,8.7,
Indira Gandhi Polytechnic College,,Puducherry,Engineering,7095,6,6.5,
Indo Global College of Engineering,Mohali,Punjab,Private,100200,6.5,6.5,
Indo Swiss Training Centre,Chandigarh,Chandigarh,Government,20000,9,8.6,
Indraprastha Institute of Information Technology,New Delhi,Delhi NCR,Government,462000,49,8.7,
Indraprastha Institute of Technology and Management,,Delhi NCR,Engineering,125000,8.7,8.3,
Indubhai Parekh School of Architecture,Rajkot,Gujarat,Private,129000,6.5,6.5,
Indus International University,Una,Himachal Pradesh,Private,62000,6.5,6.8,
Indus University,Ahmedabad,Gujarat,Private,110600,30,8.5,
"Indus University, Ahmedabad",,Gujarat,Engineering,96000,6.8,7.5,
Institute of Advanced Studies in Education,,Rajasthan,Engineering,79400,7.5,8.2,
Institute of Aeronautical Engineering,,Telangana,Engineering,90000,8,8.3,
"Institute of Architecture & Planning, Nirma University",Ahmedabad,Gujarat,Private,152200,6.5,6.5,
Institute of Chemical Technology,Mumbai,Maharashtra,University,85350,12,8.5,35
"Institute of Communication and Information Technology, Kohima",,Nagaland,Engineering,150000,6,6.5,
Institute of Dental Sciences,Jammu,Jammu & Kashmir,Private,345000,6.5,6.5,
"Institute of Engineering and Technology, Devi Ahilya University",Indore,Madhya Pradesh,Private,105950,57,7.7,
Institute of Hotel Management,Gurdaspur,Punjab,Government,109600,3.65,5.5,
Institute of Hotel Management Catering and Nutrition,Shimla,Himachal Pradesh,Government,129415,6.5,7,
Institute of Hotel Management Catering Technology and Applied Nutrition,Srinagar,Jammu & Kashmir,Government,106900,6.5,7,
Institute of Information Technology & Management,,Madhya Pradesh,Engineering,77000,8.5,8.5,
Institute of Infrastructure Technology Research and Management,Ahmedabad,Gujarat,Government,128000,6.5,7.6,
"Institute of Law, Nirma University",Ahmedabad,Gujarat,Private,400700,19.5,8,
"Institute of Management Studies, Banaras Hindu University",Varanasi,Uttar Pradesh,Government,70000,23.5,8.5,
Institute of Medical Sciences,Varanasi,Uttar Pradesh,Government,149000,6.5,7,
Institute of Rural Management,Anand,Gujarat,Private,1074508,31.16,8.5,
Institute of Technical Education and Research,,Odisha,Engineering,250000,8.3,8.2,
"Institute of Technology, Nirma University, Ahmedabad",,Gujarat,Engineering,197200,8,8.3,
"Integral University, Lucknow",,Uttar Pradesh,Engineering,140000,6.5,7.4,
International Institute of Hotel Management,,Goa,Engineering,150000,9.1,8.7,
International Institute of Information Technology,Bangalore,Karnataka,Private,460000,6.5,8.7,
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,University,340000,25,9,74
IPS Academy,Indore,Madhya Pradesh,Private,126700,6.5,6.5,
ISF College of pharmacy,Moga,Punjab,Private,90000,5,6,
ISI Kolkata,Kolkata,West Bengal,Central University,80000,18,9,
Islamic University of Science and Technology,Pulwama,Jammu & Kashmir,Government,76200,6.5,7.4,
"ITM University, Raipur",,Chhattisgarh,Engineering,120000,7.2,7.4,
"ITM University, School of Management",Gwalior,Madhya Pradesh,Private,205000,45,8.5,
"J.C. Bose University Of Science And Technology,",,Delhi NCR,Engineering,83625,7.7,7.3,
"J.C. Bose University Of Science And Technology, YMCA",Faridabad,Haryana,Government,112866,47,8.5,
J.S. University,,Uttar Pradesh,Engineering,47500,8.2,8.5,
Jabalpur Engineering College,Jabalpur,Madhya Pradesh,Government,14369,7,7.2,
Jadavpur University,Kolkata,West Bengal,University,2400,8,7,9
"Jagannath University, Jaipur",,Rajasthan,Engineering,114000,6.9,7.3,
Jagran Lakecity University,Bhopal,Madhya Pradesh,Private,180000,12,8,
Jai Narain Vyas University,Jodhpur,Rajasthan,Government,2570,6.5,7,
Jai Prakash University,Chapra,Bihar,Government,3846,6.5,7,
"Jain University, Bangalore",Bengaluru,Karnataka,University,200000,8,7,65
"Jaipur Engineering College and Research Centre, Jaipur",,Rajasthan,Engineering,92000,8.1,7.7,
Jaipur National University,,Rajasthan,Engineering,114000,6.7,7.5,
Jaipuria Institute of Management,Lucknow,Uttar Pradesh,Private,755000,36.64,8.5,
Jalpaiguri Government Engineering College,,West Bengal,Engineering,14877,7.3,7.8,
Jamia Hamdard,New Delhi,Delhi,University,115000,8,7,40
Jamia Millia Islamia,New Delhi,Delhi,University,90000,9,8.2,3
"Jamia Millia Islamia University, New Delhi",,Delhi NCR,Engineering,16150,7.2,8,
Jamia Tul Banat Saifni,Srinagar,Jammu & Kashmir,Private,43000,6.5,6.5,
Jammu Institute of Ayurveda and Research College,Jammu,Jammu & Kashmir,Private,354665,6.5,6.5,
Jawahar Lal Nehru Medical College,Aligarh,Uttar Pradesh,Government,239200,6.5,7,
Jawaharlal Nehru Government Engineering College,Sundarnagar,Himachal Pradesh,Government,60000,6.5,6.6,
Jawaharlal Nehru Medical College,Ajmer,Rajasthan,Government,125265,6.5,7,
Jawaharlal Nehru Technological University,,Andhra Pradesh,Engineering,100000,7.1,7.4,
Jawaharlal Nehru University,New Delhi,Delhi,University,200000,8.5,8.8,2
Jaypee Institute of Information Technology University,Noida,Uttar Pradesh,Private,406000,11,7.8,
Jaypee University of Engineering and Technology,,Madhya Pradesh,Engineering,189500,7.4,7.9,
JECRC University,,Rajasthan,Engineering,185000,8.1,8.1,
Jhalawar Hospital & Medical College,Jhalawar,Rajasthan,Government,125246,6.5,7,
Jharkhand Rai University,,Jharkhand,Engineering,85000,6.9,7.7,
JIIT Noida,Noida,Uttar Pradesh,Private,450000,11,8,
JIS College of Engineering,,West Bengal,Engineering,129800,7.8,7.9,
Jiwaji University,Gwalior,Madhya Pradesh,Government,23320,5,6,
"JNTUA College of Engineering, Ananthapur",,Andhra Pradesh,Engineering,25000,6.3,7,
JNTUH Hyderabad,Hyderabad,Telangana,State University,150000,8.5,7.5,
"JNTUK University College of Engineering, Kakinada, East",,Andhra Pradesh,Engineering,10000,7,7.7,
Jorhat Engineering College,,Assam,Engineering,11000,7.1,7.7,
"Jowai Polytechnic, Jowai",,Meghalaya,Engineering,1500,6,6.5,
JSS Academy of Higher Education and Research,Mysuru,Karnataka,University,200000,8,7,24
JUIT Waknaghat,Solan,Himachal Pradesh,Private,400000,8,6.5,
K L University,,Andhra Pradesh,Engineering,250000,8.3,8.3,
K. J. Somaiya College of Engineering,,Maharashtra,Engineering,286000,8,8.2,
K.R. Mangalam University,Gurgaon,Haryana,Private,120000,56.6,8.5,
Kakatiya Institute of Technology & Science,,Telangana,Engineering,125960,7.9,8.2,
Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,University,200000,6.5,7,30
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,University,200000,8.5,8,15
Kalpana Chawla Government Medical College,Karnal,Haryana,Government,80000,6.5,7,
Kalyani Government Engineering College,,West Bengal,Engineering,16155,7.4,7.9,
Kamla Nehru College for Women,Kapurthala,Punjab,Private,350000,6.5,6.5,
Kanya Mahavidyalaya,Jalandhar,Punjab,Private,20510,6.5,6.5,
Karaikal Polytechnic College,,Puducherry,Engineering,6000,6,6.5,
Karunya Institute of Technology and Sciences,,Tamil Nadu,Engineering,213500,7.5,7.9,
Kashmir Government Polytechnic,,Jammu,Engineering,2130,7,7.5,
Kashmir Law College,Srinagar,Jammu & Kashmir,Private,105000,6.5,6.5,
Katihar Engineering College,Katihar,Bihar,Engineering,150000,7,7.5,
Katihar Medical College,Katihar,Bihar,Private,1405000,6.5,6.5,
Kaziranga University,,Assam,Engineering,130500,7.2,7.5,
KC Group of Institutions,Una,Himachal Pradesh,Private,274000,6.5,6.5,
KC Law College,Jammu,Jammu & Kashmir,Private,350000,6.5,6.5,
Kerala University,Thiruvananthapuram,Kerala,University,200000,7.5,7,21
Keshav Memorial Institute of Technology,,Telangana,Engineering,111500,9,8.2,
Khalsa College,Amritsar,Punjab,Private,59960,6.5,6.5,
"Khelhoshe Polytechnic Atoizu, Kohima",,Nagaland,Engineering,11100,6,6.5,
KIET Group of Institutions,Ghaziabad,Uttar Pradesh,Private,350000,6.5,6.5,
KIIT University Bhubaneswar,Bhubaneswar,Odisha,Private,350000,8.5,8,
King George`s Medical University,Lucknow,Uttar Pradesh,University,41600,11,7,53
"Kirodimal Institute of Technology, Raigarh",,Chhattisgarh,Engineering,31500,7,7,
"Kite Polytechnic College, Budgam",,Jammu,Engineering,150000,6,6.5,
"KK College of Engineering and Management, Dhanbad",,Jharkhand,Engineering,89570,4.7,6.5,
KL University Vijayawada,Vijayawada,Andhra Pradesh,Private,350000,8,6.5,
KLE Society's Institute of Hotel Management and Catering Technology,Bangalore,Karnataka,Private,110000,6.5,6.5,
KLE Society's Law College,Bangalore,Karnataka,Private,120000,6.5,6.5,
"KLE Technological University, Hubli",,Karnataka,Engineering,15000,8.4,8.4,
"KMCT College of Engineering, Kozhikode",,Kerala,Engineering,75000,5.7,7.3,
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,University,200000,8,7,22
Kongu Engineering College,,Tamil Nadu,Engineering,60000,8.3,8.3,
Krea University,Sricity,Andhra Pradesh,Private,1200000,10,6.5,
Krishna Engineering College,,Chhattisgarh,Engineering,75200,6.6,7.4,
Krupajal Engineering College,,Odisha,Engineering,72000,4.9,6.3,
Kumaraguru College of Technology,,Tamil Nadu,Engineering,50000,7.9,8.2,
Kurukshetra University,Kurukshetra,Haryana,Government,12690,6.5,7,
